"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"S1,S2";"452403012014";2;"452403012014";;;
2;"D1";"LED_SK6812";1;"SK6812";;;
3;"U1";"MODULE_ESP32-DEVKITC-32D";1;"ESP32-DEVKITC-32D";;;
4;"J1,J2";"SAMTEC_HLE-120-02-F-DV-BE-K";2;"HLE-120-02-F-DV-BE-K";;;
5;"5VDC_IN1";"TE_282837-4";1;"282837-4";;;
6;"C6,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14";"CAP_EEE0JA102P";12;"EEE0JA102P";;;
7;"C1";"C_0603_1608Metric";1;"10uF";;;
8;"C2";"C_0805_2012Metric";1;"0.1uF";;;
9;"ExtPower1,SCL1,SCL_EXT1,SDA1,SDA_EXT1";"R_0603_1608Metric";5;"0ohm";;;
10;"R2,R1,R8,R9";"R_0603_1608Metric";4;"10k";;;
11;"R7,R6,R5,R4,R3,R10";"R_0603_1608Metric";6;"470";;;
12;"U2";"XDCR_VCNL4010-GS08";1;"VCNL4010-GS08";;;
